#{"t_start": 1765983727.382072, "env_id": "None"}
r,l,t,r,r_stochastic,r_stochastic_1seed,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
-0.021905916800436947,1,2.244862,-0.021905916800436947,nan,nan,[1698.65814985 1037.24580884 2147.96965745],nan,[4884.94370785],[90.30450739 61.08839906 61.92078031],[90.30450739 61.08839906 61.92078031],[90.69512762 61.94512762 61.94512762],[ 0.39062023 29.60672855 28.77434731],[ 0.39062023 29.60672855 28.77434731],[ 0.   28.75 28.75],90.6951276181993,10.0,0.05613354806340025
-0.013916774249815637,1,2.245144,-0.013916774249815637,nan,nan,[1641.89026052 1033.94576482 2100.90241127],nan,[4777.40329705],[89.98584966 60.86450319 60.3631113 ],[89.98584966 60.86450319 60.3631113 ],[90.2980731 61.5480731 60.2980731],[ 0.31222343 29.43356991 29.9349618 ],[ 0.31222343 29.43356991 29.9349618 ],[ 0.   28.75 30.  ],90.29807309928955,10.0,0.06270389807190178
0.00031849764149198475,1,2.245501,0.00031849764149198475,nan,nan,[1892.34531641 1412.36280541 2151.47454713],nan,[5456.1652912],[92.15081324 67.43643393 63.79284968],[92.15081324 67.43643393 63.79284968],[92.47885813 67.47885813 63.72885813],[ 0.32804489 25.0424242  28.68600845],[ 0.32804489 25.0424242  28.68600845],[ 0.   25.   28.75],92.47885812969045,10.0,0.06780483922233596
-0.020322479638966762,1,2.245785,-0.020322479638966762,nan,nan,[2153.28986095 1529.83849332 2255.22372388],nan,[5939.55914385],[93.38897665 67.85771807 68.14714869],[93.38897665 67.85771807 68.14714869],[94.07998999 69.07998999 69.07998999],[ 0.69101334 26.22227192 25.9328413 ],[ 0.69101334 26.22227192 25.9328413 ],[ 0. 25. 25.],94.07998999068987,10.0,0.027383125550384736
0.001373777896890137,1,2.246059,0.001373777896890137,nan,nan,[2178.81742477 1816.94167008 2329.92499318],nan,[6325.59718838],[95.10744578 74.34168584 71.67356021],[95.10744578 74.34168584 71.67356021],[95.42442805 74.17442805 71.67442805],[ 0.31698227 21.08274221 23.75086784],[ 0.31698227 21.08274221 23.75086784],[ 0.   21.25 23.75],95.4244280541717,10.0,0.06047083103235518
-0.09379575861680144,1,2.491642,-0.09379575861680144,nan,nan,[1883.13507827 1014.20823626 2117.36083252],nan,[5019.41214274],[90.47852275 57.68735167 61.57747027],[90.47852275 57.68735167 61.57747027],[91.11187216 59.86187216 62.36187216],[ 0.63334942 33.42452049 29.53440189],[ 0.63334942 33.42452049 29.53440189],[ 0.   31.25 28.75],91.11187216399902,10.0,0.02841675932056366
-0.01657801817426496,1,2.492109,-0.01657801817426496,nan,nan,[1750.46872287 1157.02428567 2157.3478204 ],nan,[5065.68061839],[90.90834743 63.30001956 62.68724329],[90.90834743 63.30001956 62.68724329],[91.22459537 63.72459537 62.47459537],[ 0.31624794 27.92457581 28.53735209],[ 0.31624794 27.92457581 28.53735209],[ 0.   27.5  28.75],91.22459537043892,10.0,0.06585634665873408
-0.06586502428164942,1,2.492401,-0.06586502428164942,nan,nan,[1669.9879973   962.06816227 2072.35148472],nan,[4707.50824575],[89.64667746 58.64265868 59.53732916],[89.64667746 58.64265868 59.53732916],[90.15448519 60.15448519 60.15448519],[ 0.50780773 31.51182652 30.61715603],[ 0.50780773 31.51182652 30.61715603],[ 0. 30. 30.],90.15448519037943,10.0,0.04039538080686883
-0.004291663779256833,1,2.492692,-0.004291663779256833,nan,nan,[1814.91358171 1153.8722834  2196.92921415],nan,[5165.93678389],[91.15551872 63.38472767 64.06519813],[91.15551872 63.38472767 64.06519813],[91.57942696 64.07942696 64.07942696],[ 0.42390823 28.19469929 27.51422882],[ 0.42390823 28.19469929 27.51422882],[ 0.  27.5 27.5],91.57942695530892,10.0,0.05537400640532748
-0.002720045557665472,1,2.493008,-0.002720045557665472,nan,nan,[2146.02314019 1789.94026885 2338.82633744],nan,[6274.96042826],[95.01302753 74.3292502  71.77776609],[95.01302753 74.3292502  71.77776609],[95.2549604 74.0049604 71.5049604],[ 0.24193287 20.9257102  23.47719431],[ 0.24193287 20.9257102  23.47719431],[ 0.   21.25 23.75],95.25496039896994,10.0,0.06829472411625034
-0.04064201483236819,1,2.49329,-0.04064201483236819,nan,nan,[2032.60228413 1286.71224542 2218.59586933],nan,[5540.16203235],[92.10034013 63.79563451 65.81383825],[92.10034013 63.79563451 65.81383825],[92.75129915 65.25129915 66.50129915],[ 0.65095901 28.95566463 26.9374609 ],[ 0.65095901 28.95566463 26.9374609 ],[ 0.   27.5  26.25],92.75129914896047,10.0,0.03230963972187792
-0.022582024985300986,1,2.493565,-0.022582024985300986,nan,nan,[1654.56319    1013.47964351 2078.22705409],nan,[4747.34193354],[89.81455275 60.44226119 59.79134986],[89.81455275 60.44226119 59.79134986],[90.26938865 61.51938865 60.26938865],[ 0.45483589 29.82712746 30.47803879],[ 0.45483589 29.82712746 30.47803879],[ 0.   28.75 30.  ],90.26938864592735,10.0,0.047317433351152696
-0.001110091688032375,1,2.493842,-0.001110091688032375,nan,nan,[2162.16159793 1880.44883892 2335.31531019],nan,[6377.99654865],[95.42170429 76.02194929 72.0391264 ],[95.42170429 76.02194929 72.0391264 ],[95.62465095 75.62465095 71.87465095],[ 0.20294666 19.60270166 23.58552456],[ 0.20294666 19.60270166 23.58552456],[ 0.   20.   23.75],95.62465095436488,10.0,0.06872278895964053
-0.010492760140967403,1,2.494125,-0.010492760140967403,nan,nan,[1784.73645013 1028.44490586 2138.91327748],nan,[4952.61429941],[90.44030605 59.52989517 61.91056667],[90.44030605 59.52989517 61.91056667],[90.91190753 60.91190753 62.16190753],[ 0.47160149 31.38201237 29.00134087],[ 0.47160149 31.38201237 29.00134087],[ 0.   30.   28.75],90.91190753313332,10.0,0.0465201709437454
0.010449031879052786,1,2.494404,0.010449031879052786,nan,nan,[2119.23486463 1799.17320549 2297.46925665],nan,[6215.22789563],[94.84005536 74.27256431 70.32929982],[94.84005536 74.27256431 70.32929982],[95.05211915 73.80211915 70.05211915],[ 0.21206379 20.77955484 24.72281933],[ 0.21206379 20.77955484 24.72281933],[ 0.   21.25 25.  ],95.05211915144152,10.0,0.0724516618586426
-0.01650719604706006,1,2.743106,-0.01650719604706006,nan,nan,[1801.98418697 1149.59233707 2201.43476525],nan,[5153.8620474],[91.14851528 63.43430096 64.14658123],[91.14851528 63.43430096 64.14658123],[91.54188687 64.04188687 64.04188687],[ 0.39337158 28.10758591 27.39530563],[ 0.39337158 28.10758591 27.39530563],[ 0.  27.5 27.5],91.54188686595792,10.0,0.05879930023509987
-0.09483564823910297,1,2.743561,-0.09483564823910297,nan,nan,[1939.55498198 1029.93901647 2170.97611724],nan,[5145.34974147],[90.83958204 57.99785192 63.31191595],[90.83958204 57.99785192 63.31191595],[91.50125559 60.25125559 64.00125559],[ 0.66167355 33.50340366 28.18933964],[ 0.66167355 33.50340366 28.18933964],[ 0.   31.25 27.5 ],91.50125558617137,10.0,0.02731961442208682
-0.002338048855906875,1,2.743862,-0.002338048855906875,nan,nan,[1986.30873078 1512.32114502 2247.23830545],nan,[5746.0025256],[93.09325844 69.68639285 67.27442176],[93.09325844 69.68639285 67.27442176],[93.42961938 69.67961938 67.17961938],[ 0.33636093 23.74322653 26.15519762],[ 0.33636093 23.74322653 26.15519762],[ 0.   23.75 26.25],93.42961937619998,10.0,0.06411115597789561
-0.014865919259447876,1,2.744146,-0.014865919259447876,nan,nan,[1925.63032531 1242.37593362 2189.11302536],nan,[5357.91578772],[91.68223006 63.77564055 64.44623572],[91.68223006 63.77564055 64.44623572],[92.16554267 64.66554267 64.66554267],[ 0.48331261 28.38990211 27.71930695],[ 0.48331261 28.38990211 27.71930695],[ 0.  27.5 27.5],92.16554266744,10.0,0.04916997889266281
-0.017687015357215237,1,2.744436,-0.017687015357215237,nan,nan,[1631.74470988 1003.58606274 2085.98272207],nan,[4722.14870185],[89.76901124 60.48517774 59.88191674],[89.76901124 60.48517774 59.88191674],[90.17532418 61.42532418 60.17532418],[ 0.40631294 29.69014645 30.29340744],[ 0.40631294 29.69014645 30.29340744],[ 0.   28.75 30.  ],90.17532418407788,10.0,0.052648797318219254
