#{"t_start": 1757064886.3788307, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
-14.533759,1,26865.74385,-590.8025227777028,"[2438.3745990129783, 0.0, 2610.7657914346632]",5907.7599990897115,5907.7599990897115,[90.29741867 58.74883009 70.16090095],[82.305686   74.0113945  66.57247257],[92.  64.5 64.5],[ 1.70258133 33.25116991 21.83909905],[ 9.694314   17.9886055  25.42752743],[ 0.  27.5 27.5],92.0,10.0,0.05
-13.587675,1,26865.744088,-604.6752723640079,"[2376.4492660718256, 0.0, 2728.583492713098]",5907.7599990897115,5907.7599990897115,[88.61361606 61.75316168 67.15231598],[80.62188339 77.01572609 63.5638876 ],[92.  64.5 64.5],[ 3.38638394 30.24683832 24.84768402],[11.37811661 14.98427391 28.4361124 ],[ 0.  27.5 27.5],92.0,10.0,0.05
-13.082657,1,27307.596983,-716.4057011498403,"[2434.0922466550046, 0.0, 2706.233988620083]",5914.039791785825,5914.039791785825,[89.64371307 62.25139452 68.6073941 ],[81.6519804  77.51395893 65.01896572],[92.   65.75 64.5 ],[ 2.35628693 29.74860548 23.3926059 ],[10.3480196  14.48604107 26.98103428],[ 0.   26.25 27.5 ],92.0,10.0,0.075
-13.128011,1,27307.597532,-660.0177597102174,"[2383.2162251482014, 0.0, 2748.9724195214376]",5907.7599990897115,5907.7599990897115,[90.58205707 61.48136927 67.28393734],[82.5903244  76.74393368 63.69550896],[92.  64.5 64.5],[ 1.41794293 30.51863073 24.71606266],[ 9.4096756  15.25606632 28.30449104],[ 0.  27.5 27.5],92.0,10.0,0.05
-15.647961,1,27307.597792,-714.7909340354774,"[2277.238018641043, 0.0, 2264.6100050045247]",5384.396238102012,5384.396238102012,[86.82138355 55.50257327 64.85883224],[78.82965088 70.76513767 61.27040386],[90.   61.25 60.  ],[ 3.17861645 34.49742673 25.14116776],[11.17034912 19.23486233 28.72959614],[ 0.   28.75 30.  ],90.0,10.0,0.05
-14.044448,1,27307.598032,-713.4649835774096,"[2458.6917068290354, 0.0, 2188.729302247117]",5406.772348175144,5406.772348175144,[84.31668194 61.49282099 68.11734426],[76.32494926 76.7553854  64.52891588],[90.   62.5  61.25],[ 5.68331806 28.50717901 21.88265574],[13.67505074 13.2446146  25.47108412],[ 0.   27.5  28.75],90.0,10.0,0.075
-9.095264,1,27307.598264,-679.181761403584,"[2465.592976385927, 0.0, 2922.522489095923]",5927.210961873994,5927.210961873994,[92.99570186 56.81805445 66.54549301],[85.00396919 72.08061886 62.95706463],[92.  62.  64.5],[-0.99570186 35.18194555 25.45450699],[ 6.99603081 19.91938114 29.04293537],[ 0.  30.  27.5],92.0,10.0,0.025
-13.867065,1,27307.598501,-642.077519999057,"[2546.203113043015, 0.0, 2971.070352233722]",6405.5328938379225,6405.5328938379225,[91.00981052 63.57558753 70.51257503],[83.01807785 78.83815193 66.92414665],[94. 69. 69.],[ 2.99018948 30.42441247 23.48742497],[10.98192215 15.16184807 27.07585335],[ 0. 25. 25.],94.0,10.0,0.025
-14.11718,1,27307.598731,-699.2566890428969,"[2269.186768793614, 0.0, 2821.2691852474118]",5927.210961873994,5927.210961873994,[89.3438731  58.14795329 64.78605449],[81.35214043 73.41051769 61.19762611],[92.  62.  64.5],[ 2.6561269  33.85204671 27.21394551],[10.64785957 18.58948231 30.80237389],[ 0.  30.  27.5],92.0,10.0,0.025
-9.263928,1,27307.598965,-624.0468451180544,"[2540.8800487575572, 0.0, 2825.2873507227805]",5914.039791785825,5914.039791785825,[86.58319099 62.39205195 68.16328228],[78.59145832 77.65461636 64.5748539 ],[92.   65.75 64.5 ],[ 5.41680901 29.60794805 23.83671772],[13.40854168 14.34538364 27.4251461 ],[ 0.   26.25 27.5 ],92.0,10.0,0.075
-10.416986,1,27307.599199,-601.2195094961977,"[2732.0625492755353, 0.0, 2565.912502873461]",5914.039791785825,5914.039791785825,[86.72333343 62.80029131 69.67012584],[78.73160076 78.06285572 66.08169746],[92.   65.75 64.5 ],[ 5.27666657 29.19970869 22.32987416],[13.26839924 13.93714428 25.91830254],[ 0.   26.25 27.5 ],92.0,10.0,0.075
-11.9194145,1,27307.599429,-616.594687126213,"[2348.521723645734, 0.0, 2855.06785799683]",5907.7599990897115,5907.7599990897115,[89.81764896 61.79735018 68.11336458],[81.82591629 77.05991459 64.5249362 ],[92.  64.5 64.5],[ 2.18235104 30.20264982 23.88663542],[10.17408371 14.94008541 27.4750638 ],[ 0.  27.5 27.5],92.0,10.0,0.05
-17.850023,1,27746.931955,-734.2557242860245,"[2498.9516010756065, 0.0, 3249.0003043394895]",6996.900212088641,6996.900212088641,[89.66403969 72.55215861 75.27259433],[81.67230701 87.81472301 71.68416595],[96.  76.  73.5],[ 6.33596031 23.44784139 20.72740567],[14.32769299  8.18527699 24.31583405],[ 0.  20.  22.5],96.0,10.0,0.05
-18.930233,1,27746.958534,-678.9479924534972,"[2475.2233313889296, 0.0, 3146.3607018845073]",6934.254560608033,6934.254560608033,[88.80082138 71.13180853 73.46487606],[80.80908871 86.39437294 69.87644768],[96.   74.75 73.5 ],[ 7.19917862 24.86819147 22.53512394],[15.19091129  9.60562706 26.12355232],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-17.151287,1,27746.958781,-731.9422212943185,"[2526.97982121875, 0.0, 2367.5232898641766]",5907.7599990897115,5907.7599990897115,[90.9574519  60.06597115 68.73552501],[82.96571922 75.32853556 65.14709663],[92.  64.5 64.5],[ 1.0425481  31.93402885 23.26447499],[ 9.03428078 16.67146444 26.85290337],[ 0.  27.5 27.5],92.0,10.0,0.05
-15.800466,1,27746.958994,-729.265449452616,"[2538.597256055832, 0.0, 2854.831598766106]",6405.5328938379225,6405.5328938379225,[88.45680054 65.62134768 71.68019664],[80.46506786 80.88391209 68.09176826],[94. 69. 69.],[ 5.54319946 28.37865232 22.31980336],[13.53493214 13.11608791 25.90823174],[ 0. 25. 25.],94.0,10.0,0.025
-14.906169,1,27746.959211,-694.0879302771621,"[2297.2303978110217, 0.0, 2291.24291265371]",5392.2514120297865,5392.2514120297865,[86.87045009 50.         64.07018411],[78.87871742 64.62277412 60.48175573],[90.  57.5 60. ],[ 3.12954991 40.         25.92981589],[11.12128258 25.37722588 29.51824427],[ 0.  32.5 30. ],90.0,10.0,0.025
-13.833619,1,27746.959416,-655.9111393852628,"[2685.750633876511, 0.0, 2878.0562186135944]",6457.050665070418,6457.050665070418,[89.59684189 67.3849609  73.25063598],[81.60510921 82.64752531 69.6622076 ],[94.   70.25 69.  ],[ 4.40315811 26.6150391  20.74936402],[12.39489079 11.35247469 24.3377924 ],[ 0.   23.75 25.  ],94.0,10.0,0.075
-14.810851,1,27746.959617,-714.0675401903756,"[2567.4156166017633, 0.0, 2465.3548428724907]",5907.7599990897115,5907.7599990897115,[90.60202225 62.17025591 67.5593251 ],[82.61028957 77.43282032 63.97089672],[92.  64.5 64.5],[ 1.39797775 29.82974409 24.4406749 ],[ 9.38971043 14.56717968 28.02910328],[ 0.  27.5 27.5],92.0,10.0,0.05
-13.343611,1,27746.959816,-637.3904554328248,"[2294.623359655028, 0.0, 2378.1070367608045]",5392.2514120297865,5392.2514120297865,[88.22284611 52.87202241 63.24620712],[80.23111343 68.13458681 59.65777874],[90.  57.5 60. ],[ 1.77715389 37.12797759 26.75379288],[ 9.76888657 21.86541319 30.34222126],[ 0.  32.5 30. ],90.0,10.0,0.025
-14.778411,1,27746.960014,-615.9979206352624,"[2442.4591482295978, 0.0, 2608.804208618944]",5927.210961873994,5927.210961873994,[90.0596915  57.94854952 67.39794433],[82.06795883 73.21111393 63.80951595],[92.  62.  64.5],[ 1.9403085  34.05145048 24.60205567],[ 9.93204117 18.78888607 28.19048405],[ 0.  30.  27.5],92.0,10.0,0.025
